en,es,fr,pt,de,ja,gap_score,cluster_id,is_representative,translatability
x,x,x,x,x,x,-2.384185791015625e-07,-1,True,universal
twitter,twitter,twitter,twitter,twitter,twitter,-2.384185791015625e-07,-1,True,universal
7,7,7,7,7,7,-2.384185791015625e-07,-1,True,universal
n,n,n,n,n,n,-2.384185791015625e-07,-1,True,universal
1,1,1,1,1,1,-2.384185791015625e-07,-1,True,universal
m,m,m,m,m,m,-2.384185791015625e-07,-1,True,universal
6,6,6,6,6,6,-1.1920928955078125e-07,-1,True,universal
0,0,0,0,0,0,-1.1920928955078125e-07,-1,True,universal
9,9,9,9,9,9,-1.1920928955078125e-07,-1,True,universal
c,c,c,c,c,c,-1.1920928955078125e-07,-1,True,universal
l,l,l,l,l,l,-1.1920928955078125e-07,-1,True,universal
e,e,e,e,e,e,-1.1920928955078125e-07,-1,True,universal
a,a,a,a,a,a,-1.1920928955078125e-07,-1,True,universal
and,and,and,and,and,and,-7.947286206899662e-08,-1,True,universal
5,5,5,5,5,5,0.0,-1,True,universal
http,http,http,http,http,http,0.0,-1,True,universal
b,b,b,b,b,b,0.0,-1,True,universal
g,g,g,g,g,g,0.0,-1,True,universal
tv,tv,tv,tv,tv,tv,0.0,-1,True,universal
t,t,t,t,t,t,0.0,-1,True,universal
8,8,8,8,8,8,0.0,-1,True,universal
4,4,4,4,4,4,0.0,-1,True,universal
j,j,j,j,j,j,0.0,-1,True,universal
r,r,r,r,r,r,0.0,-1,True,universal
s,s,s,s,s,s,0.0,-1,True,universal
v,v,v,v,v,v,5.960464477539063e-08,-1,True,universal
f,f,f,f,f,f,5.960464477539063e-08,-1,True,universal
h,h,h,h,h,h,1.1920928955078125e-07,-1,True,universal
p,p,p,p,p,p,1.1920928955078125e-07,-1,True,universal
d,d,d,d,d,d,1.1920928955078125e-07,-1,True,universal
ok,ok,ok,ok,ok,ok,1.5894572413799324e-07,-1,True,universal
2,2,2,2,2,2,1.7881393432617188e-07,-1,True,universal
3,3,3,3,3,3,2.384185791015625e-07,-1,True,universal
new,new,new,new,new,新しい,0.007534933276474476,-1,True,universal
internet,internet,internet,internet,internet,インターネット,0.00828568171709776,-1,True,universal
you,usted,you,you,you,you,0.010079662315547466,62,True,universal
okay,ok,ok,ok,okay,ok,0.011757874861359596,-1,True,universal
system,sistema,système,sistema,system,システム,0.013787738047540188,-1,True,universal
video,video,vidéo,video,video,ビデオ,0.013830971904098988,-1,True,universal
particularly,especialmente,particulièrement,especialmente,insbesondere,特に,0.016595784574747086,-1,True,universal
hotel,hotel,hôtel,hotel,hotel,ホテル,0.017158133909106255,-1,True,universal
especially,especialmente,particulièrement,especialmente,insbesondere,特に,0.01865667849779129,-1,True,universal
style,estilo,style,estilo,stil,スタイル,0.01936112716794014,-1,True,universal
music,música,musique,música,musik,音楽,0.02012205868959427,-1,True,universal
service,servicio,service,serviço,dienst,サービス,0.02197304554283619,-1,True,universal
now,ahora,maintenant,agora,jetzt,いま,0.022539036348462105,-1,True,universal
model,modelo,modèle,modelo,modell,モデル,0.02283463068306446,-1,True,universal
happy,feliz,heureux,feliz,glücklich,幸せ,0.023350315168499947,-1,True,universal
always,siempre,toujours,sempre,immer,常に,0.023407423868775368,-1,True,universal
program,programa,programme,programa,programm,プログラム,0.023457085713744164,-1,True,universal
group,grupo,groupe,grupo,gruppe,グループ,0.023473922163248062,-1,True,universal
international,internacional,international,internacional,international,国際,0.023841174319386482,-1,True,universal
yes,da,oui,da,da,はい,0.023841755464673042,-1,True,universal
experience,experiencia,expérience,experiência,erfahrung,経験,0.023949114605784416,-1,True,universal
here,aqui,hier,aqui,hier,ここ,0.024152450263500214,-1,True,universal
production,producción,production,produção,produktion,生産,0.024208005517721176,-1,True,universal
club,club,club,clube,club,クラブ,0.024228569120168686,-1,True,universal
young,joven,jeune,jovem,junge,若い,0.024615244939923286,-1,True,universal
line,línea,ligne,linha,linie,line,0.025090448558330536,-1,True,universal
w,v,v,v,w,w,0.02514270506799221,-1,True,universal
love,amor,amour,love,liebe,愛,0.025144433602690697,-1,True,universal
etc,etc,etc,etc,etc,など,0.02552933245897293,-1,True,universal
write,escribir,écrire,escrever,schreiben,書く,0.0257597453892231,-1,True,universal
list,lista,liste,lista,liste,リスト,0.02622608281672001,-1,True,universal
oh,oh,oh,oh,oh,ああ,0.027172565460205078,-1,True,universal
family,familia,famille,família,familie,家族,0.027448710054159164,-1,True,universal
an,a,an,a,an,a,0.027455389499664307,-1,True,universal
nature,naturaleza,nature,natureza,natur,自然,0.02750125341117382,-1,True,universal
series,serie,série,série,serie,シリーズ,0.027873897925019264,-1,True,universal
yeah,da,oui,da,da,はい,0.028244677931070328,-1,True,universal
radio,radio,radio,rádio,radio,ラジオ,0.028483612462878227,-1,True,universal
moment,momento,moment,momento,moment,瞬間,0.030125446617603302,-1,True,universal
special,especial,spécial,especial,besondere,特別,0.030456824228167534,-1,True,universal
truly,realmente,vraiment,realmente,wirklich,本当に,0.030652305111289024,65,True,universal
culture,cultura,culture,cultura,kultur,文化,0.0307113416492939,-1,True,universal
television,televisión,télévision,televisão,tv,テレビ,0.0317700169980526,-1,True,universal
sleep,dormir,dormir,dormir,schlafen,寝,0.03185988590121269,-1,True,universal
health,salud,santé,saúde,gesundheit,健康,0.031908322125673294,-1,True,universal
war,guerra,guerre,guerra,war,戦争,0.03226661682128906,-1,True,universal
when,cuando,quand,quando,wann,いつ,0.03252094238996506,-1,True,universal
important,importante,important,importante,wichtig,重要,0.032565053552389145,-1,True,universal
find,encontrar,trouver,encontrar,find,見つけ,0.03310057148337364,-1,True,universal
work,trabajo,travail,trabalho,werk,働い,0.03421645238995552,40,True,universal
information,información,information,informação,information,情報,0.03431199863553047,-1,True,universal
one,uno,viens,one,one,一つ,0.03446369990706444,-1,True,universal
answer,respuesta,réponse,resposta,antworten,答え,0.03474271297454834,-1,True,universal
other,otras,autres,outras,andere,その他,0.034761928021907806,-1,True,universal
products,productos,produits,produtos,produkte,製品,0.03506304323673248,-1,True,universal
thanks,gracias,merci,obrigado,danke,ありがとう,0.03540697321295738,-1,True,universal
needed,necesario,nécessaire,necessário,nötig,必要,0.035686198621988297,73,True,universal
videos,videos,vidéos,vídeos,videos,ビデオ,0.03570009022951126,-1,True,universal
different,diferente,différent,diferente,verschiedene,異なる,0.03607993200421333,60,True,universal
dollars,dólares,dollars,dólares,dollar,ドル,0.0365615114569664,-1,True,universal
old,viejo,vieux,velha,alten,古い,0.036693379282951355,-1,True,universal
hear,escuchar,écouter,ouvir,hören,聞く,0.037399426102638245,-1,True,universal
girl,niña,fille,menina,mädchen,女の子,0.0376710519194603,-1,True,universal
understand,entender,comprendre,entender,verstehen,理解,0.03797168284654617,-1,True,universal
market,mercado,marché,mercado,markt,市場,0.03800622373819351,-1,True,universal
students,estudiantes,élèves,estudantes,studenten,学生,0.03818691894412041,-1,True,universal
phone,teléfono,téléphone,telefone,telefon,電話,0.038373641669750214,-1,True,universal
security,seguridad,sécurité,segurança,sicherheit,安全,0.038389239460229874,-1,True,universal
safety,seguridad,sécurité,segurança,sicherheit,安全,0.03843019902706146,-1,True,universal
large,grande,large,grande,grossen,大きい,0.03849410638213158,77,True,universal
sex,sexo,sexe,sexo,sex,セックス,0.0387762114405632,-1,True,universal
free,libre,libre,livre,freie,フリー,0.03921490162611008,-1,True,universal
